Player,Team,Season,PPG,RPG,APG,WS
Kelly Olynyk,BOS,14/15,10.2,4.7,1.7,3.6
Dwight Howard,HOU,14/15,15.8,10.5,1.2,3.6
Jason Terry,HOU,14/15,7.0,1.6,1.9,3.6
Solomon Hill,IND,14/15,8.9,3.8,2.2,3.5
Dwyane Wade,MIA,14/15,21.5,3.5,4.8,3.5
Ryan Anderson,NOP,14/15,13.7,4.8,0.9,3.5
Victor Oladipo,ORL,14/15,17.9,4.2,4.1,3.5
Patrick Beverley,HOU,14/15,10.1,4.2,3.4,3.5
Jonas Jerebko,BOSDET,14/15,6.0,3.8,0.9,3.5
Tyler Hansbrough,TOR,14/15,3.6,3.6,0.3,3.4
D.J. Augustin,DETOKC,14/15,9.5,2.0,4.3,3.4
Alex Len,PHO,14/15,6.3,6.6,0.5,3.4
Jrue Holiday,NOP,14/15,14.8,3.4,6.8,3.4
Brandon Jennings,DET,14/15,15.4,2.5,6.6,3.3
Kosta Koufos,MEM,14/15,5.2,5.3,0.5,3.3
Al-Farouq Aminu,DAL,14/15,5.6,4.6,0.8,3.3
Chris Kaman,POR,14/15,8.6,6.5,0.9,3.3
Shaun Livingston,GSW,14/15,5.9,2.3,3.3,3.3
Aaron Brooks,CHI,14/15,11.6,2.0,3.2,3.3
Alexis Ajinça,NOP,14/15,6.5,4.6,0.7,3.2
David Lee,GSW,14/15,7.9,5.2,1.7,3.2
Jodie Meeks,DET,14/15,11.0,1.7,1.3,3.1
Tarik Black,HOULAL,14/15,6.0,5.8,0.7,3.1
Thaddeus Young,BRKMIN,14/15,14.1,5.4,2.3,3.1
Corey Brewer,HOUMIN,14/15,11.5,3.7,2.2,3.1
Nenê,WAS,14/15,11.0,5.1,1.8,3.0
Terrence Jones,HOU,14/15,11.7,6.7,1.1,3.0
Quincy Pondexter,MEMNOP,14/15,7.2,2.6,1.3,2.9
Marcus Smart,BOS,14/15,7.8,3.3,3.1,2.9
Marco Belinelli,SAS,14/15,9.2,2.5,1.5,2.9
Carmelo Anthony,NYK,14/15,24.2,6.6,3.0,2.9
Eric Gordon,NOP,14/15,13.4,2.6,3.8,2.9
Lavoy Allen,IND,14/15,5.0,5.1,1.2,2.8
Kentavious Caldwell-Pope,DET,14/15,12.7,3.1,1.3,2.8
Leandro Barbosa,GSW,14/15,7.1,1.4,1.5,2.8
O.J. Mayo,MIL,14/15,11.4,2.6,2.8,2.8
Carl Landry,SAC,14/15,7.2,3.8,0.4,2.8
Meyers Leonard,POR,14/15,5.9,4.5,0.6,2.8
Mario Chalmers,MIA,14/15,10.2,2.6,3.8,2.8
Greivis Vásquez,TOR,14/15,9.5,2.6,3.7,2.8
Otto Porter Jr.,WAS,14/15,6.0,3.0,0.9,2.7
Anthony Tolliver,DETPHO,14/15,6.3,3.1,0.8,2.7
Alan Anderson,BRK,14/15,7.4,2.8,1.1,2.7
J.J. Barea,DAL,14/15,7.5,1.7,3.4,2.7
Omri Casspi,SAC,14/15,8.9,3.9,1.5,2.7
Mike Scott,ATL,14/15,7.8,2.9,1.1,2.7
Jeremy Lin,LAL,14/15,11.2,2.6,4.6,2.7
Rasual Butler,WAS,14/15,7.7,2.6,0.8,2.6
Arron Afflalo,DENPOR,14/15,13.3,3.2,1.7,2.6
Jarrett Jack,BRK,14/15,12.0,3.1,4.7,2.6
Hollis Thompson,PHI,14/15,8.8,2.8,1.2,2.6
Miles Plumlee,MILPHO,14/15,4.0,4.4,0.5,2.6
Evan Turner,BOS,14/15,9.5,5.1,5.5,2.5
Ben McLemore,SAC,14/15,12.1,2.9,1.7,2.5
Dennis Schröder,ATL,14/15,10.0,2.1,4.1,2.5
Tayshaun Prince,BOSDETMEM,14/15,7.5,3.6,1.6,2.5
Avery Bradley,BOS,14/15,13.9,3.1,1.8,2.5
Thabo Sefolosha,ATL,14/15,5.3,4.3,1.4,2.5
Tony Snell,CHI,14/15,6.0,2.4,0.9,2.4
Nikola Jokić,DEN,20/21,26.4,10.8,8.3,15.6
Rudy Gobert,UTA,20/21,14.3,13.5,1.3,11.3
Damian Lillard,POR,20/21,28.8,4.2,7.5,10.4
Giannis Antetokounmpo,MIL,20/21,28.1,11.0,5.9,10.2
Jimmy Butler,MIA,20/21,21.5,6.9,7.1,9.3
Chris Paul,PHO,20/21,16.4,4.5,8.9,9.2
Stephen Curry,GSW,20/21,32.0,5.5,5.8,9.0
Kawhi Leonard,LAC,20/21,24.8,6.5,5.2,8.8
Bam Adebayo,MIA,20/21,18.7,9.0,5.4,8.8
Joel Embiid,PHI,20/21,28.5,10.6,2.8,8.8
Zion Williamson,NOP,20/21,27.0,7.2,3.7,8.7
Deandre Ayton,PHO,20/21,14.4,10.5,1.4,8.4
Clint Capela,ATL,20/21,15.2,14.3,0.8,8.2
Mikal Bridges,PHO,20/21,13.5,4.3,2.1,8.0
Jonas Valančiūnas,MEM,20/21,17.1,12.5,1.8,7.8
Julius Randle,NYK,20/21,24.1,10.2,6.0,7.8
Luka Dončić,DAL,20/21,27.7,8.0,8.6,7.7
Enes Freedom,POR,20/21,11.2,11.0,1.2,7.5
Kyrie Irving,BRK,20/21,26.9,4.8,6.0,7.4
DeMar DeRozan,SAS,20/21,21.6,4.2,6.9,7.4
Montrezl Harrell,LAL,20/21,13.5,6.2,1.1,7.3
Trae Young,ATL,20/21,25.3,3.9,9.4,7.2
Tobias Harris,PHI,20/21,19.5,6.8,3.5,7.1
Joe Ingles,UTA,20/21,12.1,3.6,4.7,7.0
James Harden,BRKHOU,20/21,24.6,7.9,10.8,7.0
Domantas Sabonis,IND,20/21,20.3,12.0,6.7,6.9
Ivica Zubac,LAC,20/21,9.0,7.2,1.2,6.9
Michael Porter Jr.,DEN,20/21,19.0,7.3,1.1,6.9
John Collins,ATL,20/21,17.6,7.4,1.2,6.7
Jrue Holiday,MIL,20/21,17.7,4.5,6.1,6.6
Jayson Tatum,BOS,20/21,26.4,7.4,4.3,6.5
Jarrett Allen,BRKCLE,20/21,12.8,10.0,1.7,6.4
Khris Middleton,MIL,20/21,20.4,6.0,5.4,6.4
Nikola Vučević,CHIORL,20/21,23.4,11.7,3.8,6.3
Donovan Mitchell,UTA,20/21,26.4,4.4,5.2,6.2
Mike Conley,UTA,20/21,16.2,3.5,6.0,6.1
Richaun Holmes,SAC,20/21,14.2,8.3,1.7,6.1
Chris Boucher,TOR,20/21,13.6,6.7,1.0,6.1
Ben Simmons,PHI,20/21,14.3,7.2,6.9,6.0
Bradley Beal,WAS,20/21,31.3,4.7,4.4,5.9
Zach LaVine,CHI,20/21,27.4,5.0,4.9,5.9
Jakob Poeltl,SAS,20/21,8.6,7.9,1.9,5.7
Royce O'Neale,UTA,20/21,7.0,6.8,2.5,5.6
Kyle Anderson,MEM,20/21,12.4,5.7,3.6,5.6
LeBron James,LAL,20/21,25.0,7.7,7.8,5.6
Karl-Anthony Towns,MIN,20/21,24.8,10.6,4.5,5.4
Robert Williams,BOS,20/21,8.0,6.9,1.8,5.3
Paul George,LAC,20/21,23.3,6.6,5.2,5.3
Brook Lopez,MIL,20/21,12.3,5.0,0.7,5.3
Brandon Ingram,NOP,20/21,23.8,4.9,4.9,5.3
Terry Rozier,CHO,20/21,20.4,4.4,4.2,5.2
Joe Harris,BRK,20/21,14.1,3.6,1.9,5.2
Nerlens Noel,NYK,20/21,5.1,6.4,0.7,5.2
Bojan Bogdanović,UTA,20/21,17.0,3.9,1.9,5.2
Mason Plumlee,DET,20/21,10.4,9.3,3.6,5.1
Derrick Favors,UTA,20/21,5.4,5.5,0.6,5.1
Thaddeus Young,CHI,20/21,12.1,6.2,4.3,5.1
Jalen Brunson,DAL,20/21,12.6,3.4,3.5,5.1
Kelly Olynyk,HOUMIA,20/21,13.5,7.0,2.9,5.1
Nicolas Batum,LAC,20/21,8.1,4.7,2.2,5.0
Kevin Durant,BRK,20/21,26.9,7.1,5.6,5.0
Devin Booker,PHO,20/21,25.6,4.2,4.3,4.9
Jaylen Brown,BOS,20/21,24.7,6.0,3.4,4.8
T.J. McConnell,IND,20/21,8.6,3.7,6.6,4.8
Bobby Portis,MIL,20/21,11.4,7.1,1.1,4.8
Norman Powell,PORTOR,20/21,18.6,3.1,1.9,4.7
CJ McCollum,POR,20/21,23.1,3.9,4.7,4.7
Reggie Bullock,NYK,20/21,10.9,3.4,1.5,4.6
Danny Green,PHI,20/21,9.5,3.8,1.7,4.6
Draymond Green,GSW,20/21,7.0,7.1,8.9,4.6
Jamal Murray,DEN,20/21,21.2,4.0,4.8,4.6
Harrison Barnes,SAC,20/21,16.1,6.6,3.5,4.5
Dorian Finney-Smith,DAL,20/21,9.8,5.4,1.7,4.4
Bruce Brown,BRK,20/21,8.8,5.4,1.6,4.4
Tim Hardaway Jr.,DAL,20/21,16.6,3.3,1.8,4.3
Delon Wright,DETSAC,20/21,10.2,4.3,4.4,4.3
Fred VanVleet,TOR,20/21,19.6,4.2,6.3,4.3
Daniel Theis,BOSCHI,20/21,9.6,5.5,1.7,4.3
Kristaps Porziņģis,DAL,20/21,20.1,8.9,1.6,4.3
Kentavious Caldwell-Pope,LAL,20/21,9.7,2.7,1.9,4.2
Pascal Siakam,TOR,20/21,21.4,7.2,4.5,4.2
Miles Bridges,CHO,20/21,12.7,6.0,2.2,4.2
Malcolm Brogdon,IND,20/21,21.2,5.2,5.9,4.2
Jordan Clarkson,UTA,20/21,18.4,4.0,2.5,4.2
Brandon Clarke,MEM,20/21,10.3,5.6,1.6,4.2
De'Aaron Fox,SAC,20/21,25.2,3.5,7.2,4.2
Kyle Lowry,TOR,20/21,17.2,5.4,7.3,4.1
RJ Barrett,NYK,20/21,17.6,5.8,3.0,4.1
Jeff Green,BRK,20/21,11.0,3.9,1.6,4.1
Seth Curry,PHI,20/21,12.5,2.4,2.7,4.0
Isaiah Stewart,DET,20/21,7.9,6.7,0.9,4.0
Steven Adams,NOP,20/21,7.6,8.9,1.9,4.0
Dwight Howard,PHI,20/21,7.0,8.4,0.9,4.0
DeAndre Jordan,BRK,20/21,7.5,7.5,1.6,3.9
Andrew Wiggins,GSW,20/21,18.6,4.9,2.4,3.9
Bogdan Bogdanović,ATL,20/21,16.4,3.6,3.3,3.9
Taj Gibson,NYK,20/21,5.4,5.6,0.8,3.8
Dwight Powell,DAL,20/21,5.9,4.0,1.1,3.8
Dennis Schröder,LAL,20/21,15.4,3.5,5.8,3.8
Khem Birch,ORLTOR,20/21,7.2,5.8,1.3,3.8
Doug McDermott,IND,20/21,13.6,3.3,1.3,3.8
Jae'Sean Tate,HOU,20/21,11.3,5.3,2.5,3.8
Robert Covington,POR,20/21,8.5,6.7,1.7,3.7
Duncan Robinson,MIA,20/21,13.1,3.5,1.8,3.7
Danilo Gallinari,ATL,20/21,13.3,4.1,1.5,3.7
Terance Mann,LAC,20/21,7.0,3.6,1.6,3.7
Reggie Jackson,LAC,20/21,10.7,2.9,3.1,3.7
Russell Westbrook,WAS,20/21,22.2,11.5,11.7,3.7
Robin Lopez,WAS,20/21,9.0,3.8,0.8,3.7
Anthony Davis,LAL,20/21,21.8,7.9,3.1,3.7
Donte DiVincenzo,MIL,20/21,10.4,5.8,3.1,3.6
Marcus Morris,LAC,20/21,13.4,4.1,1.0,3.6
Kevin Huerter,ATL,20/21,11.9,3.3,3.5,3.6
Cameron Payne,PHO,20/21,8.4,2.4,3.6,3.6
Pat Connaughton,MIL,20/21,6.8,4.8,1.2,3.5
Jaxson Hayes,NOP,20/21,7.5,4.3,0.6,3.5
Gordon Hayward,CHO,20/21,19.6,5.9,4.1,3.5
Shai Gilgeous-Alexander,OKC,20/21,23.7,4.7,5.9,3.5
Collin Sexton,CLE,20/21,24.3,3.1,4.4,3.5
Tyrese Haliburton,SAC,20/21,13.0,3.0,5.3,3.5
Daniel Gafford,CHIWAS,20/21,7.0,4.3,0.5,3.5
Devonte' Graham,CHO,20/21,14.8,2.7,5.4,3.4
Mitchell Robinson,NYK,20/21,8.3,8.1,0.5,3.4
Wendell Carter Jr.,CHIORL,20/21,11.2,8.2,1.9,3.4
Kevon Looney,GSW,20/21,4.1,5.3,2.0,3.4
Myles Turner,IND,20/21,12.6,6.5,1.0,3.3
Jae Crowder,PHO,20/21,10.0,4.7,2.1,3.3
Dejounte Murray,SAS,20/21,15.7,7.1,5.4,3.3
Alec Burks,NYK,20/21,12.7,4.6,2.2,3.3
Marcus Smart,BOS,20/21,13.1,3.5,5.7,3.3
Kemba Walker,BOS,20/21,19.3,4.0,4.9,3.3
Kyle Kuzma,LAL,20/21,12.9,6.1,1.9,3.3
Cody Zeller,CHO,20/21,9.4,6.8,1.8,3.3
Keldon Johnson,SAS,20/21,12.8,6.0,1.8,3.3
Saddiq Bey,DET,20/21,12.2,4.5,1.4,3.3
Lonzo Ball,NOP,20/21,14.6,4.8,5.7,3.2
Immanuel Quickley,NYK,20/21,11.4,2.1,2.0,3.2
Paul Millsap,DEN,20/21,9.0,4.7,1.8,3.2
Ja Morant,MEM,20/21,19.1,4.0,7.4,3.2
Naz Reid,MIN,20/21,11.2,4.6,1.0,3.2
Jerami Grant,DET,20/21,22.3,4.6,2.8,3.2
Derrick Rose,DETNYK,20/21,14.7,2.6,4.2,3.1
Ricky Rubio,MIN,20/21,8.6,3.3,6.4,3.1
Jarred Vanderbilt,MIN,20/21,5.4,5.8,1.2,3.1
Justin Holiday,IND,20/21,10.5,3.6,1.7,3.1
Facundo Campazzo,DEN,20/21,6.1,2.1,3.6,3.1
OG Anunoby,TOR,20/21,15.9,5.5,2.2,3.1
Tomáš Satoranský,CHI,20/21,7.7,2.4,4.7,3.1
Dāvis Bertāns,WAS,20/21,11.5,2.9,0.9,3.1
Juan Toscano-Anderson,GSW,20/21,5.7,4.4,2.8,3.0
Serge Ibaka,LAC,20/21,11.1,6.7,1.8,3.0
Lauri Markkanen,CHI,20/21,13.6,5.3,0.9,3.0
Desmond Bane,MEM,20/21,9.2,3.1,1.7,2.9
Kendrick Nunn,MIA,20/21,14.6,3.2,2.6,2.9
Maxi Kleber,DAL,20/21,7.1,5.2,1.4,2.9
Willy Hernangómez,NOP,20/21,7.8,7.1,1.1,2.9
Xavier Tillman Sr.,MEM,20/21,6.6,4.3,1.3,2.9
Tristan Thompson,BOS,20/21,7.6,8.1,1.2,2.9
Monte Morris,DEN,20/21,10.2,2.0,3.2,2.9
Kenrich Williams,OKC,20/21,8.0,4.1,2.3,2.8
Raul Neto,WAS,20/21,8.7,2.4,2.3,2.8
LaMelo Ball,CHO,20/21,15.7,5.9,6.1,2.8
Tyus Jones,MEM,20/21,6.3,2.0,3.7,2.8
Evan Fournier,BOSORL,20/21,17.1,3.0,3.4,2.8
Willie Cauley-Stein,DAL,20/21,5.3,4.5,0.7,2.8
Shake Milton,PHI,20/21,13.0,2.3,3.1,2.8
Matisse Thybulle,PHI,20/21,3.9,1.9,1.0,2.8
Christian Wood,HOU,20/21,21.0,9.6,1.7,2.8
Marc Gasol,LAL,20/21,5.0,4.1,2.1,2.8
Josh Hart,NOP,20/21,9.2,8.0,2.3,2.7
Tony Bradley,OKCPHI,20/21,7.1,5.7,0.9,2.7
Alex Len,TORWAS,20/21,6.6,4.1,0.8,2.7
Luke Kennard,LAC,20/21,8.3,2.6,1.7,2.7
P.J. Washington,CHO,20/21,12.9,6.5,2.5,2.7
Bryn Forbes,MIL,20/21,10.0,1.6,0.6,2.7
Damion Lee,GSW,20/21,6.5,3.2,1.3,2.7
Grayson Allen,MEM,20/21,10.6,3.2,2.2,2.7
Moses Brown,OKC,20/21,8.6,8.9,0.2,2.6
Georges Niang,UTA,20/21,6.9,2.4,0.8,2.6
JaMychal Green,DEN,20/21,8.1,4.8,0.9,2.6
Carmelo Anthony,POR,20/21,13.4,3.1,1.5,2.6
Cameron Johnson,PHO,20/21,9.6,3.3,1.4,2.6
Payton Pritchard,BOS,20/21,7.7,2.4,1.8,2.5
Patrick Williams,CHI,20/21,9.2,4.6,1.4,2.5
Josh Richardson,DAL,20/21,12.1,3.3,2.6,2.4
Derrick Jones Jr.,POR,20/21,6.8,3.5,0.8,2.4
Jusuf Nurkić,POR,20/21,11.5,9.0,3.4,2.4
Alex Caruso,LAL,20/21,6.4,2.9,2.8,2.4
Caris LeVert,BRKIND,20/21,20.2,4.6,5.2,2.4
Coby White,CHI,20/21,15.1,4.1,4.8,2.4
Eric Bledsoe,NOP,20/21,12.2,3.4,3.8,2.3
Garrison Mathews,WAS,20/21,5.5,1.4,0.4,2.3
Drew Eubanks,SAS,20/21,5.8,4.5,0.8,2.3
Bismack Biyombo,CHO,20/21,5.0,5.3,1.2,2.3
Buddy Hield,SAC,20/21,16.6,4.7,3.6,2.2
De'Anthony Melton,MEM,20/21,9.1,3.1,2.5,2.2
Torrey Craig,MILPHO,20/21,5.5,3.9,1.0,2.2
KJ Martin,HOU,20/21,9.3,5.4,1.1,2.2
Will Barton,DEN,20/21,12.7,4.0,3.2,2.2
Kelly Oubre Jr.,GSW,20/21,15.4,6.0,1.3,2.2
Nikola Jokić,DEN,21/22,27.1,13.8,7.9,15.2
Giannis Antetokounmpo,MIL,21/22,29.9,11.6,5.8,12.9
Joel Embiid,PHI,21/22,30.6,11.7,4.2,12.0
Rudy Gobert,UTA,21/22,15.6,14.7,1.1,11.7
Karl-Anthony Towns,MIN,21/22,24.6,9.8,3.6,10.3
Trae Young,ATL,21/22,28.4,3.7,9.7,10.0
Robert Williams,BOS,21/22,10.0,9.6,2.0,9.9
Jayson Tatum,BOS,21/22,26.9,8.0,4.4,9.6
Chris Paul,PHO,21/22,14.7,4.4,10.8,9.4
Jimmy Butler,MIA,21/22,21.4,5.9,5.5,9.2
Mikal Bridges,PHO,21/22,14.2,4.2,2.3,8.9
DeMar DeRozan,CHI,21/22,27.9,5.2,4.9,8.8
Mitchell Robinson,NYK,21/22,8.5,8.6,0.5,8.5
Jarrett Allen,CLE,21/22,16.1,10.8,1.6,8.5
Kevin Durant,BRK,21/22,29.9,7.4,6.4,8.4
Clint Capela,ATL,21/22,11.1,11.9,1.2,8.3
Dwight Powell,DAL,21/22,8.7,4.9,1.2,8.2
Pascal Siakam,TOR,21/22,22.8,8.5,5.3,8.1
Stephen Curry,GSW,21/22,25.5,5.2,6.3,8.0
James Harden,BRKPHI,21/22,22.0,7.7,10.3,7.6
Luka Dončić,DAL,21/22,28.4,9.1,8.7,7.6
Devin Booker,PHO,21/22,26.8,5.0,4.8,7.6
Al Horford,BOS,21/22,10.2,7.7,3.4,7.6
Jalen Brunson,DAL,21/22,16.3,3.9,4.8,7.5
LeBron James,LAL,21/22,30.3,8.2,6.2,7.5
Dejounte Murray,SAS,21/22,21.1,8.3,9.2,7.3
Tyrese Maxey,PHI,21/22,17.5,3.2,4.3,7.3
Jonas Valančiūnas,NOP,21/22,17.8,11.4,2.6,7.3
Montrezl Harrell,CHOWAS,21/22,13.1,6.1,2.0,7.3
Deandre Ayton,PHO,21/22,17.2,10.2,1.4,7.3
Miles Bridges,CHO,21/22,20.2,7.0,3.8,7.2
Ivica Zubac,LAC,21/22,10.3,8.5,1.6,7.2
Desmond Bane,MEM,21/22,18.2,4.4,2.7,7.2
Donovan Mitchell,UTA,21/22,25.9,4.2,5.3,7.2
Bam Adebayo,MIA,21/22,19.1,10.1,3.4,7.2
Domantas Sabonis,INDSAC,21/22,18.9,12.1,5.2,7.1
Tyrese Haliburton,INDSAC,21/22,15.3,4.0,8.2,7.0
Jakob Poeltl,SAS,21/22,13.5,9.3,2.8,6.9
Jrue Holiday,MIL,21/22,18.3,4.5,6.8,6.9
Steven Adams,MEM,21/22,6.9,10.0,3.4,6.8
Kevon Looney,GSW,21/22,6.0,7.3,2.0,6.8
Mike Conley,UTA,21/22,13.7,3.0,5.3,6.7
Ja Morant,MEM,21/22,27.4,5.7,6.7,6.7
Fred VanVleet,TOR,21/22,20.3,4.4,6.7,6.7
Scottie Barnes,TOR,21/22,15.3,7.5,3.5,6.6
Dorian Finney-Smith,DAL,21/22,11.0,4.7,1.9,6.6
Kyle Lowry,MIA,21/22,13.4,4.5,7.5,6.4
Darius Garland,CLE,21/22,21.7,3.3,8.6,6.3
Brandon Clarke,MEM,21/22,10.4,5.3,1.3,6.3
Alec Burks,NYK,21/22,11.7,4.9,3.0,6.1
Harrison Barnes,SAC,21/22,16.4,5.6,2.4,6.0
Jarred Vanderbilt,MIN,21/22,6.9,8.4,1.3,6.0
Jordan Poole,GSW,21/22,18.5,3.4,4.0,6.0
Chris Boucher,TOR,21/22,9.4,6.2,0.3,6.0
Daniel Gafford,WAS,21/22,9.4,5.7,0.9,6.0
Terry Rozier,CHO,21/22,19.3,4.3,4.5,5.9
Zach LaVine,CHI,21/22,24.4,4.6,4.5,5.8
LaMelo Ball,CHO,21/22,20.1,6.7,7.6,5.8
Hassan Whiteside,UTA,21/22,8.2,7.6,0.4,5.8
Jaylen Brown,BOS,21/22,23.6,6.1,3.5,5.8
Kevin Love,CLE,21/22,13.6,7.2,2.2,5.7
Cameron Johnson,PHO,21/22,12.5,4.1,1.5,5.6
Gary Trent Jr.,TOR,21/22,18.3,2.7,2.0,5.6
Tobias Harris,PHI,21/22,17.2,6.8,3.5,5.6
Kristaps Porziņģis,DALWAS,21/22,20.2,8.1,2.3,5.6
Marcus Smart,BOS,21/22,12.1,3.8,5.9,5.6
Bobby Portis,MIL,21/22,14.6,9.1,1.2,5.5
Royce O'Neale,UTA,21/22,7.4,4.8,2.5,5.5
Terance Mann,LAC,21/22,10.8,5.2,2.6,5.5
Isaiah Hartenstein,LAC,21/22,8.3,4.9,2.4,5.5
Monte Morris,DEN,21/22,12.6,3.0,4.4,5.4
Jaren Jackson Jr.,MEM,21/22,16.3,5.8,1.1,5.4
Khris Middleton,MIL,21/22,20.1,5.4,5.4,5.3
Bojan Bogdanović,UTA,21/22,18.1,4.3,1.7,5.2
Evan Mobley,CLE,21/22,15.0,8.3,2.5,5.2
Aaron Gordon,DEN,21/22,15.0,5.9,2.5,5.2
Gary Payton II,GSW,21/22,7.1,3.5,0.9,5.2
Andrew Wiggins,GSW,21/22,17.2,4.5,2.2,5.1
Derrick White,BOSSAS,21/22,13.2,3.5,4.9,5.1
Andre Drummond,BRKPHI,21/22,7.9,9.3,1.8,5.1
Tyus Jones,MEM,21/22,8.7,2.4,4.4,5.1
Grant Williams,BOS,21/22,7.8,3.6,1.0,5.1
Jaxson Hayes,NOP,21/22,9.3,4.5,0.6,5.1
John Collins,ATL,21/22,16.2,7.8,1.8,5.1
P.J. Tucker,MIA,21/22,7.6,5.5,2.1,5.0
Wendell Carter Jr.,ORL,21/22,15.0,10.5,2.8,5.0
Lauri Markkanen,CLE,21/22,14.8,5.7,1.3,5.0
JaVale McGee,PHO,21/22,9.2,6.7,0.6,4.9
Keldon Johnson,SAS,21/22,17.0,6.1,2.1,4.9
Otto Porter Jr.,GSW,21/22,8.2,5.7,1.5,4.9
Christian Wood,HOU,21/22,17.9,10.1,2.3,4.9
Bruce Brown,BRK,21/22,9.0,4.8,2.1,4.8
Mason Plumlee,CHO,21/22,6.5,7.7,3.1,4.7
Herbert Jones,NOP,21/22,9.5,3.8,2.1,4.6
Shai Gilgeous-Alexander,OKC,21/22,24.5,5.0,5.9,4.6
Anthony Davis,LAL,21/22,23.2,9.8,3.0,4.5
Nikola Vučević,CHI,21/22,17.6,11.0,3.2,4.5
Luke Kennard,LAC,21/22,11.9,3.3,2.1,4.5
Mo Bamba,ORL,21/22,10.6,8.1,1.2,4.5
Pat Connaughton,MIL,21/22,9.9,4.2,1.3,4.4
Javonte Green,CHI,21/22,7.2,4.2,0.9,4.4
D'Angelo Russell,MIN,21/22,18.1,3.3,7.1,4.4
Josh Hart,NOPPOR,21/22,14.9,7.2,4.1,4.4
Jae Crowder,PHO,21/22,9.4,5.3,1.9,4.3
Anthony Edwards,MIN,21/22,21.3,4.8,3.8,4.3
Isaac Okoro,CLE,21/22,8.8,3.0,1.8,4.2
Immanuel Quickley,NYK,21/22,11.3,3.2,3.5,4.2
Seth Curry,BRKPHI,21/22,15.0,3.1,3.6,4.2
Onyeka Okongwu,ATL,21/22,8.2,5.9,1.1,4.2
John Konchar,MEM,21/22,4.8,4.6,1.5,4.2
Grayson Allen,MIL,21/22,11.1,3.4,1.5,4.2
Patrick Beverley,MIN,21/22,9.2,4.1,4.6,4.1
Spencer Dinwiddie,DALWAS,21/22,13.7,4.2,5.2,4.1
Franz Wagner,ORL,21/22,15.2,4.5,2.9,4.0
Saddiq Bey,DET,21/22,16.1,5.4,2.8,4.0
Caleb Martin,MIA,21/22,9.2,3.8,1.1,4.0
Duncan Robinson,MIA,21/22,10.9,2.6,1.6,3.9
Obi Toppin,NYK,21/22,9.0,3.7,1.1,3.9
Cody Martin,CHO,21/22,7.7,4.0,2.5,3.9
Jeff Green,DEN,21/22,10.3,3.1,1.3,3.9
Brandon Ingram,NOP,21/22,22.7,5.8,5.6,3.9
Amir Coffey,LAC,21/22,9.0,2.9,1.8,3.8
Tyler Herro,MIA,21/22,20.7,5.0,4.0,3.8
Matisse Thybulle,PHI,21/22,5.7,2.3,1.1,3.7
OG Anunoby,TOR,21/22,17.1,5.5,2.6,3.7
Nicolas Batum,LAC,21/22,8.3,4.3,1.7,3.7
De'Anthony Melton,MEM,21/22,10.8,4.5,2.7,3.7
Evan Fournier,NYK,21/22,14.1,2.6,2.1,3.7
Bogdan Bogdanović,ATL,21/22,15.1,4.0,3.1,3.7
Delon Wright,ATL,21/22,4.4,2.9,2.4,3.6
Danilo Gallinari,ATL,21/22,11.7,4.7,1.5,3.6
Max Strus,MIA,21/22,10.6,3.0,1.4,3.6
Draymond Green,GSW,21/22,7.5,7.3,7.0,3.6
Malik Monk,LAL,21/22,13.8,3.4,2.9,3.6
Jusuf Nurkić,POR,21/22,15.0,11.1,2.8,3.6
Carmelo Anthony,LAL,21/22,13.3,4.2,1.0,3.6
CJ McCollum,NOPPOR,21/22,22.1,4.3,5.1,3.6
Trey Lyles,DETSAC,21/22,10.5,5.1,1.2,3.5
Josh Richardson,BOSSAS,21/22,10.2,2.8,1.8,3.5
Jordan Clarkson,UTA,21/22,16.0,3.5,2.5,3.5
Dwight Howard,LAL,21/22,6.2,5.9,0.6,3.5
Dewayne Dedmon,MIA,21/22,6.3,5.8,0.7,3.5
Kyle Anderson,MEM,21/22,7.6,5.3,2.7,3.5
Nic Claxton,BRK,21/22,8.7,5.6,0.9,3.5
Isaiah Stewart,DET,21/22,8.3,8.7,1.2,3.4
Drew Eubanks,PORSAS,21/22,7.7,5.4,1.2,3.4
P.J. Washington,CHO,21/22,10.3,5.2,2.3,3.4
Kyrie Irving,BRK,21/22,27.4,4.4,5.8,3.3
Damian Jones,SAC,21/22,8.1,4.4,1.2,3.3
Devin Vassell,SAS,21/22,12.3,4.3,1.9,3.3
Kelly Oubre Jr.,CHO,21/22,15.0,4.0,1.1,3.3
Richaun Holmes,SAC,21/22,10.4,7.0,1.1,3.2
Robert Covington,LACPOR,21/22,8.5,5.5,1.3,3.2
Will Barton,DEN,21/22,14.7,4.8,3.9,3.2
Naz Reid,MIN,21/22,8.3,3.9,0.9,3.2
Reggie Bullock,DAL,21/22,8.6,3.5,1.2,3.2
Willy Hernangómez,NOP,21/22,9.1,6.8,1.3,3.2
Julius Randle,NYK,21/22,20.1,9.9,5.1,3.1
Myles Turner,IND,21/22,12.9,7.1,1.0,3.1
Payton Pritchard,BOS,21/22,6.2,1.9,2.0,3.1
LaMarcus Aldridge,BRK,21/22,12.9,5.5,0.9,3.1
Jae'Sean Tate,HOU,21/22,11.8,5.4,2.8,3.0
Jonathan Kuminga,GSW,21/22,9.3,3.3,0.9,3.0
Nemanja Bjelica,GSW,21/22,6.1,4.1,2.2,3.0
Ayo Dosunmu,CHI,21/22,8.8,2.8,3.3,3.0
