Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,Standings
Carlos Arroyo,ORL,07/08,6.9,1.8,3.5,0.634,2.8,0,7
Ime Udoka,SAS,07/08,5.8,3.1,0.9,0.683,2.8,0,4
Matt Harpring,UTA,07/08,8.2,3.2,1.1,0.659,2.8,0,6
Reggie Evans,PHI,07/08,5.2,7.5,0.8,0.488,2.7,0,14
Tony Allen,BOS,07/08,6.6,2.2,1.5,0.805,2.7,0,1
Chris Quinn,MIA,07/08,7.8,2.0,3.0,0.183,2.6,0,25
Glen Davis,BOS,07/08,4.5,3.0,0.4,0.805,2.5,0,1
Udonis Haslem,MIA,07/08,12.0,9.0,1.4,0.183,2.5,0,25
Travis Diener,IND,07/08,6.9,1.7,3.8,0.439,2.5,0,17
Sean Williams,NJN,07/08,5.6,4.4,0.4,0.415,2.5,0,18
Tyrus Thomas,CHI,07/08,6.8,4.6,1.2,0.402,2.4,0,19
Marko Jarić,MIN,07/08,8.3,3.0,4.1,0.268,2.4,0,23
Beno Udrih,SAC,07/08,12.8,3.3,4.3,0.463,2.4,0,15
Devin Brown,CLE,07/08,7.5,3.4,2.2,0.549,2.4,0,11
Anderson Varejão,CLE,07/08,6.7,8.3,1.1,0.549,2.4,0,11
Brent Barry,SAS,07/08,7.1,1.8,1.7,0.683,2.3,0,4
Chris Duhon,CHI,07/08,5.8,1.8,4.0,0.402,2.3,0,19
Dikembe Mutombo,HOU,07/08,3.0,5.1,0.1,0.671,2.3,0,5
Kevin Durant,OKC,07/08,20.3,4.4,2.4,0.244,2.3,0,24
Jerry Stackhouse,DAL,07/08,10.7,2.3,2.5,0.622,2.3,0,8
Matt Barnes,GSW,07/08,6.7,4.4,1.9,0.585,2.3,0,10
DeAndre Jordan,LAC,15/16,12.7,13.8,1.2,0.646,11.5,0,6
Hassan Whiteside,MIA,15/16,14.2,11.8,0.4,0.585,10.3,0,7
LaMarcus Aldridge,SAS,15/16,18.0,8.5,1.5,0.817,10.1,0,2
Paul Millsap,ATL,15/16,17.1,9.0,3.3,0.585,10.1,0,7
Kemba Walker,CHO,15/16,20.9,4.4,5.2,0.585,9.9,0,7
DeMar DeRozan,TOR,15/16,23.5,4.5,4.0,0.683,9.9,0,4
Isaiah Thomas,BOS,15/16,22.2,3.0,6.2,0.585,9.7,0,7
Al Horford,ATL,15/16,15.2,7.3,3.2,0.585,9.4,0,7
Paul George,IND,15/16,23.1,7.0,4.1,0.549,9.2,0,8
Jimmy Butler,CHI,15/16,20.9,5.3,4.8,0.512,9.1,0,10
Gordon Hayward,UTA,15/16,19.7,5.0,3.7,0.488,8.9,0,12
Tristan Thompson,CLE,15/16,7.8,9.0,0.8,0.695,8.7,0,3
Kevin Love,CLE,15/16,16.0,9.9,2.4,0.695,8.5,0,3
Karl-Anthony Towns,MIN,15/16,18.3,10.5,2.0,0.354,8.3,0,17
Enes Freedom,OKC,15/16,12.7,8.1,0.4,0.671,8.1,0,5
Klay Thompson,GSW,15/16,22.1,3.8,2.1,0.89,8.0,0,1
Marvin Williams,CHO,15/16,11.7,6.4,1.4,0.585,7.8,0,7
Greg Monroe,MIL,15/16,15.3,8.8,2.3,0.402,7.5,0,14
Andre Drummond,DET,15/16,16.2,14.8,0.8,0.537,7.4,0,9
Jae Crowder,BOS,15/16,14.2,5.1,1.8,0.585,7.3,0,7
Marcin Gortat,WAS,15/16,13.5,9.9,1.4,0.5,7.3,0,11
Anthony Davis,NOP,15/16,24.3,10.3,1.9,0.366,7.2,0,16
Derrick Favors,UTA,15/16,16.4,8.1,1.5,0.488,7.1,0,12
Pau Gasol,CHI,15/16,16.5,11.0,4.1,0.512,7.1,0,10
Giannis Antetokounmpo,MIL,15/16,16.9,7.6,4.3,0.402,7.1,0,14
Reggie Jackson,DET,15/16,18.8,3.2,6.2,0.537,6.9,0,9
Jonas Valančiūnas,TOR,15/16,12.8,9.1,0.7,0.683,6.9,0,4
Dirk Nowitzki,DAL,15/16,18.3,6.5,1.8,0.512,6.8,0,10
Ed Davis,POR,15/16,6.5,7.4,1.1,0.537,6.7,0,9
JJ Redick,LAC,15/16,16.3,1.9,1.4,0.646,6.7,0,6
Nikola Jokić,DEN,15/16,10.0,7.0,2.4,0.402,6.7,0,14
Dwight Howard,HOU,15/16,13.7,11.8,1.4,0.5,6.6,0,11
Steven Adams,OKC,15/16,8.0,6.7,0.8,0.671,6.5,0,5
Rudy Gobert,UTA,15/16,9.1,11.0,1.5,0.488,6.4,0,12
Luol Deng,MIA,15/16,12.3,6.0,1.9,0.585,6.4,0,7
Chris Bosh,MIA,15/16,19.1,7.4,2.4,0.585,6.4,0,7
Carmelo Anthony,NYK,15/16,21.8,7.7,4.2,0.39,6.4,0,15
Danilo Gallinari,DEN,15/16,19.5,5.3,2.5,0.402,6.3,0,14
Cody Zeller,CHO,15/16,8.7,6.2,1.0,0.585,6.3,0,7
George Hill,IND,15/16,12.1,4.0,3.5,0.549,6.2,0,8
Ian Mahinmi,IND,15/16,9.3,7.1,1.5,0.549,6.2,0,8
Brook Lopez,BRK,15/16,20.6,7.8,2.0,0.256,6.2,0,19
Khris Middleton,MIL,15/16,18.2,3.8,4.2,0.402,6.1,0,14
Mason Plumlee,POR,15/16,9.1,7.7,2.8,0.537,6.1,0,9
CJ McCollum,POR,15/16,20.8,3.2,4.3,0.537,6.0,0,9
Zaza Pachulia,DAL,15/16,8.6,9.4,1.7,0.512,6.0,0,10
Rodney Hood,UTA,15/16,14.5,3.4,2.7,0.488,6.0,0,12
Amir Johnson,BOS,15/16,7.3,6.4,1.7,0.585,5.9,0,7
Bismack Biyombo,TOR,15/16,5.5,8.0,0.4,0.683,5.9,0,4
Jeff Teague,ATL,15/16,15.7,2.7,5.9,0.585,5.9,0,7
Gorgui Dieng,MIN,15/16,10.1,7.1,1.7,0.354,5.9,0,17
Tony Parker,SAS,15/16,11.9,2.4,5.3,0.817,5.8,0,2
Robin Lopez,NYK,15/16,10.3,7.3,1.4,0.39,5.8,0,15
Ricky Rubio,MIN,15/16,10.1,4.3,8.7,0.354,5.8,0,17
John Wall,WAS,15/16,19.9,4.9,10.2,0.5,5.7,0,11
DeMarcus Cousins,SAC,15/16,26.9,11.5,3.3,0.402,5.7,0,14
Evan Fournier,ORL,15/16,15.4,2.8,2.7,0.427,5.7,0,13
Otto Porter Jr.,WAS,15/16,11.6,5.2,1.6,0.5,5.6,0,11
Kenneth Faried,DEN,15/16,12.5,8.7,1.2,0.402,5.5,0,14
Serge Ibaka,OKC,15/16,12.6,6.8,0.8,0.671,5.5,0,5
J.R. Smith,CLE,15/16,12.4,2.8,1.7,0.695,5.5,0,3
Andrew Bogut,GSW,15/16,5.4,7.0,2.3,0.89,5.4,0,1
Marcus Morris,DET,15/16,14.1,5.0,2.5,0.537,5.4,0,9
Aaron Gordon,ORL,15/16,9.2,6.5,1.6,0.427,5.4,0,13
David West,SAS,15/16,7.1,4.0,1.8,0.817,5.4,0,2
Trevor Ariza,HOU,15/16,12.7,4.5,2.3,0.5,5.4,0,11
Taj Gibson,CHI,15/16,8.6,6.9,1.5,0.512,5.4,0,10
Kentavious Caldwell-Pope,DET,15/16,14.5,3.7,1.8,0.537,5.3,0,9
Mike Conley,MEM,15/16,15.3,2.9,6.1,0.512,5.3,0,10
Darren Collison,SAC,15/16,14.0,2.3,4.3,0.402,5.2,0,14
Tim Duncan,SAS,15/16,8.6,7.3,2.7,0.817,5.2,0,2
Nikola Vučević,ORL,15/16,18.2,8.9,2.8,0.427,5.2,0,13
Kyrie Irving,CLE,15/16,19.6,3.0,4.7,0.695,5.0,0,3
Nicolas Batum,CHO,15/16,14.9,6.1,5.8,0.585,5.0,0,7
Harrison Barnes,GSW,15/16,11.7,4.9,1.8,0.89,4.9,0,1
Dwyane Wade,MIA,15/16,19.0,4.1,4.6,0.585,4.9,0,7
Victor Oladipo,ORL,15/16,16.0,4.8,3.9,0.427,4.9,0,13
Patty Mills,SAS,15/16,8.5,2.0,2.8,0.817,4.8,0,2
Jared Sullinger,BOS,15/16,10.3,8.3,2.3,0.585,4.8,0,7
Avery Bradley,BOS,15/16,15.2,2.9,2.1,0.585,4.8,0,7
Goran Dragić,MIA,15/16,14.1,3.8,5.8,0.585,4.7,0,7
Lou Williams,LAL,15/16,15.3,2.5,2.5,0.207,4.7,0,20
Jared Dudley,WAS,15/16,7.9,3.5,2.1,0.5,4.6,0,11
Shaun Livingston,GSW,15/16,6.3,2.2,3.0,0.89,4.6,0,1
Rajon Rondo,SAC,15/16,11.9,6.0,11.7,0.402,4.6,0,14
Thabo Sefolosha,ATL,15/16,6.4,4.5,1.4,0.585,4.5,0,7
Clint Capela,HOU,15/16,7.0,6.4,0.6,0.5,4.4,0,11
Andre Iguodala,GSW,15/16,7.0,4.0,3.4,0.89,4.4,0,1
Patrick Beverley,HOU,15/16,9.9,3.5,3.4,0.5,4.4,0,11
Kristaps Porziņģis,NYK,15/16,14.3,7.3,1.3,0.39,4.4,0,15
Trevor Booker,UTA,15/16,5.9,5.7,1.1,0.488,4.3,0,12
Zach Randolph,MEM,15/16,15.3,7.8,2.1,0.512,4.3,0,10
Allen Crabbe,POR,15/16,10.3,2.7,1.2,0.537,4.3,0,9
Will Barton,DEN,15/16,14.4,5.8,2.5,0.402,4.3,0,14
Chandler Parsons,DAL,15/16,13.7,4.7,2.8,0.512,4.3,0,10
Monta Ellis,IND,15/16,13.8,3.3,4.7,0.549,4.3,0,8
Danny Green,SAS,15/16,7.2,3.8,1.8,0.817,4.2,0,2
Brandon Bass,LAL,15/16,7.2,4.3,1.1,0.207,4.1,0,20
Kelly Olynyk,BOS,15/16,10.0,4.1,1.5,0.585,4.1,0,7
Kent Bazemore,ATL,15/16,11.6,5.1,2.3,0.585,4.1,0,7
Andrew Wiggins,MIN,15/16,20.7,3.6,2.0,0.354,4.1,0,17
Kyle Korver,ATL,15/16,9.2,3.2,2.0,0.585,4.1,0,7
Aron Baynes,DET,15/16,6.3,4.7,0.6,0.537,4.1,0,9
Thaddeus Young,BRK,15/16,15.1,9.0,1.9,0.256,4.1,0,19
José Calderón,NYK,15/16,7.6,3.2,4.1,0.39,4.0,0,15
Evan Turner,BOS,15/16,10.5,4.9,4.4,0.585,4.0,0,7
Gary Harris,DEN,15/16,12.3,2.9,1.9,0.402,4.0,0,14
Al-Farouq Aminu,POR,15/16,10.2,6.1,1.7,0.537,4.0,0,9
Nikola Mirotić,CHI,15/16,11.8,5.5,1.5,0.512,3.9,0,10
Jordan Hill,IND,15/16,8.8,6.2,1.2,0.549,3.9,0,8
Ryan Anderson,NOP,15/16,17.0,6.0,1.1,0.366,3.9,0,16
Rudy Gay,SAC,15/16,17.2,6.5,1.7,0.402,3.8,0,14
Mirza Teletović,PHO,15/16,12.2,3.8,1.1,0.28,3.8,0,18
Willie Cauley-Stein,SAC,15/16,7.0,5.3,0.6,0.402,3.8,0,14
Blake Griffin,LAC,15/16,21.4,8.4,4.9,0.646,3.8,0,6
Boris Diaw,SAS,15/16,6.4,3.1,2.3,0.817,3.8,0,2
Matthew Dellavedova,CLE,15/16,7.5,2.1,4.4,0.695,3.8,0,3
Ramon Sessions,WAS,15/16,9.9,2.5,2.9,0.5,3.8,0,11
Manu Ginóbili,SAS,15/16,9.6,2.5,3.1,0.817,3.8,0,2
Tyson Chandler,PHO,15/16,7.2,8.7,1.0,0.28,3.8,0,18
Wesley Matthews,DAL,15/16,12.5,3.1,1.9,0.512,3.7,0,10
Lavoy Allen,IND,15/16,5.4,5.4,1.0,0.549,3.7,0,8
Timofey Mozgov,CLE,15/16,6.2,4.4,0.4,0.695,3.7,0,3
Marc Gasol,MEM,15/16,16.6,7.0,3.8,0.512,3.7,0,10
Deron Williams,DAL,15/16,14.1,2.9,5.8,0.512,3.7,0,10
Terrence Ross,TOR,15/16,9.9,2.5,0.8,0.683,3.6,0,4
Patrick Patterson,TOR,15/16,6.9,4.3,1.2,0.683,3.6,0,4
Jabari Parker,MIL,15/16,14.1,5.2,1.7,0.402,3.6,0,14
Omri Casspi,SAC,15/16,11.8,5.9,1.4,0.402,3.6,0,14
Derrick Williams,NYK,15/16,9.3,3.7,0.9,0.39,3.6,0,15
Jeremy Lin,CHO,15/16,11.7,3.2,3.0,0.585,3.5,0,7
Cory Joseph,TOR,15/16,8.5,2.6,3.1,0.683,3.5,0,4
Cole Aldrich,LAC,15/16,5.5,4.8,0.8,0.646,3.5,0,6
Kosta Koufos,SAC,15/16,6.8,5.4,0.4,0.402,3.5,0,14
P.J. Tucker,PHO,15/16,8.0,6.2,2.2,0.28,3.5,0,18
Kyle Anderson,SAS,15/16,4.5,3.1,1.6,0.817,3.5,0,2
Boban Marjanović,SAS,15/16,5.5,3.6,0.4,0.817,3.4,0,2
Andre Roberson,OKC,15/16,4.8,3.6,0.7,0.671,3.4,0,5
Jrue Holiday,NOP,15/16,16.8,3.0,6.0,0.366,3.4,0,16
Jamal Crawford,LAC,15/16,14.2,1.8,2.3,0.646,3.3,0,6
Luis Scola,TOR,15/16,8.7,4.7,0.9,0.683,3.3,0,4
Frank Kaminsky,CHO,15/16,7.5,4.1,1.2,0.585,3.3,0,7
Langston Galloway,NYK,15/16,7.6,3.5,2.5,0.39,3.3,0,15
Mike Scott,ATL,15/16,6.2,2.7,1.0,0.585,3.2,0,7
C.J. Miles,IND,15/16,11.8,2.7,1.0,0.549,3.1,0,8
Dwight Powell,DAL,15/16,5.8,4.0,0.6,0.512,3.1,0,10
Myles Turner,IND,15/16,10.3,5.5,0.7,0.549,3.1,0,8
Nerlens Noel,PHI,15/16,11.1,8.1,1.8,0.122,3.0,0,21
Maurice Harkless,POR,15/16,6.4,3.6,0.9,0.537,2.9,0,9
Marcus Smart,BOS,15/16,9.1,4.2,3.0,0.585,2.9,0,7
J.J. Barea,DAL,15/16,10.9,2.1,4.1,0.512,2.8,0,10
Doug McDermott,CHI,15/16,9.4,2.4,0.7,0.512,2.8,0,10
Anthony Tolliver,DET,15/16,5.3,3.2,0.7,0.537,2.8,0,9
Al Jefferson,CHO,15/16,12.0,6.4,1.5,0.585,2.8,0,7
Festus Ezeli,GSW,15/16,7.0,5.6,0.7,0.89,2.7,0,1
Nenê,WAS,15/16,9.2,4.5,1.7,0.5,2.7,0,11
Richard Jefferson,CLE,15/16,5.5,1.7,0.8,0.695,2.7,0,3
Jeremy Lamb,CHO,15/16,8.8,3.8,1.2,0.585,2.7,0,7
Bradley Beal,WAS,15/16,17.4,3.4,2.9,0.5,2.7,0,11
Shabazz Muhammad,MIN,15/16,10.5,3.3,0.6,0.354,2.7,0,17
Arron Afflalo,NYK,15/16,12.8,3.7,2.0,0.39,2.7,0,15
Garrett Temple,WAS,15/16,7.3,2.6,1.8,0.5,2.7,0,11
Jon Leuer,PHO,15/16,8.5,5.6,1.1,0.28,2.7,0,18
Raymond Felton,DAL,15/16,9.5,3.2,3.6,0.512,2.7,0,10
Wesley Johnson,LAC,15/16,6.9,3.1,0.6,0.646,2.6,0,6
JaMychal Green,MEM,15/16,7.4,4.8,0.9,0.512,2.6,0,10
Zach LaVine,MIN,15/16,14.0,2.8,3.1,0.354,2.6,0,17
Matt Barnes,MEM,15/16,10.0,5.5,2.1,0.512,2.6,0,10
Eric Bledsoe,PHO,15/16,20.4,4.0,6.1,0.28,2.5,0,18
Devin Harris,DAL,15/16,7.6,2.2,1.8,0.512,2.5,0,10
Justise Winslow,MIA,15/16,6.4,5.2,1.5,0.585,2.5,0,7
Josh Richardson,MIA,15/16,6.6,2.1,1.4,0.585,2.5,0,7
Quincy Acy,SAC,15/16,5.2,3.2,0.5,0.402,2.5,0,14
Toney Douglas,NOP,15/16,8.7,2.3,2.6,0.366,2.5,0,16
Tony Allen,MEM,15/16,8.4,4.6,1.1,0.512,2.4,0,10
Jonas Jerebko,BOS,15/16,4.4,3.7,0.8,0.585,2.4,0,7
Amar'e Stoudemire,MIA,15/16,5.8,4.3,0.5,0.585,2.4,0,7
Dewayne Dedmon,ORL,15/16,4.4,3.9,0.2,0.427,2.4,0,13
Jerryd Bayless,MIL,15/16,10.4,2.7,3.1,0.402,2.4,0,14
Jeff Withey,UTA,15/16,4.3,3.4,0.4,0.488,2.3,0,12
John Henson,MIL,15/16,7.0,3.9,0.9,0.402,2.3,0,14
Chauncey Billups,DET,04/05,16.4,3.4,5.8,0.659,12.1,0,4
Stephon Marbury,NYK,04/05,21.7,3.0,8.1,0.402,11.7,0,17
Paul Pierce,BOS,04/05,21.6,6.6,4.2,0.549,11.2,0,10
Manu Ginóbili,SAS,04/05,16.0,4.4,3.9,0.72,11.0,0,2
Yao Ming,HOU,04/05,18.3,8.4,0.8,0.622,10.7,0,6
Elton Brand,LAC,04/05,20.0,9.5,2.6,0.451,10.6,0,14
Tayshaun Prince,DET,04/05,14.7,5.3,3.0,0.659,9.4,0,4
Udonis Haslem,MIA,04/05,10.9,9.1,1.4,0.72,9.2,0,2
Damon Jones,MIA,04/05,11.6,2.8,4.3,0.72,8.7,0,2
Brad Miller,SAC,04/05,15.6,9.3,3.9,0.61,8.6,0,7
Jason Terry,DAL,04/05,12.4,2.4,5.4,0.707,8.5,0,3
Drew Gooden,CLE,04/05,14.4,9.2,1.6,0.512,8.5,0,13
Ben Wallace,DET,04/05,9.7,12.2,1.7,0.659,8.5,0,4
Mike Bibby,SAC,04/05,19.6,4.2,6.8,0.61,8.5,0,7
Rashard Lewis,OKC,04/05,20.5,5.5,1.3,0.634,8.4,0,5
Tyson Chandler,CHI,04/05,8.0,9.7,0.8,0.573,8.3,0,9
Kobe Bryant,LAL,04/05,27.6,5.9,6.0,0.415,8.1,0,16
Corey Maggette,LAC,04/05,22.2,6.0,3.4,0.451,8.1,0,14
Zydrunas Ilgauskas,CLE,04/05,16.9,8.6,1.3,0.512,8.1,0,13
Tony Parker,SAS,04/05,16.6,3.7,6.1,0.72,8.1,0,2
Eddie Jones,MIA,04/05,12.7,5.1,2.6,0.72,8.0,0,2
Shane Battier,MEM,04/05,9.9,5.2,1.6,0.549,7.8,0,10
Larry Hughes,WAS,04/05,22.0,6.3,4.7,0.549,7.7,0,10
Joe Johnson,PHO,04/05,17.1,5.1,3.5,0.756,7.6,0,1
Raef LaFrentz,BOS,04/05,11.0,6.9,1.2,0.549,7.5,0,10
Richard Hamilton,DET,04/05,18.7,3.9,4.9,0.659,7.4,0,4
Wally Szczerbiak,MIN,04/05,15.5,3.7,2.4,0.537,7.3,0,11
Dwight Howard,ORL,04/05,12.0,10.0,0.9,0.439,7.3,0,15
Peja Stojaković,SAC,04/05,20.1,4.3,2.1,0.61,7.3,0,7
Jason Kidd,NJN,04/05,14.4,7.4,8.3,0.512,7.2,0,13
Kirk Hinrich,CHI,04/05,15.7,3.9,6.4,0.573,7.2,0,9
Rasheed Wallace,DET,04/05,14.5,8.2,1.8,0.659,7.1,0,4
Mehmet Okur,UTA,04/05,12.9,7.5,2.0,0.317,7.0,0,20
Andre Miller,DEN,04/05,13.6,4.1,6.9,0.598,7.0,0,8
Mike Miller,MEM,04/05,13.4,3.9,2.9,0.549,7.0,0,10
Pau Gasol,MEM,04/05,17.8,7.3,2.4,0.549,6.8,0,10
Bobby Simmons,LAC,04/05,16.4,5.9,2.7,0.451,6.8,0,14
Chris Bosh,TOR,04/05,16.8,8.9,1.9,0.402,6.8,0,17
Antonio Daniels,OKC,04/05,11.2,2.3,4.1,0.634,6.8,0,5
Reggie Miller,IND,04/05,14.8,2.4,2.2,0.537,6.6,0,11
Grant Hill,ORL,04/05,19.7,4.7,3.3,0.439,6.6,0,15
Kyle Korver,PHI,04/05,11.5,4.6,2.2,0.524,6.6,0,12
Andre Iguodala,PHI,04/05,9.0,5.7,3.0,0.524,6.6,0,12
Josh Howard,DAL,04/05,12.6,6.4,1.4,0.707,6.4,0,3
Michael Redd,MIL,04/05,23.0,4.2,2.3,0.366,6.2,0,18
Steve Francis,ORL,04/05,21.3,5.8,7.0,0.439,6.2,0,15
Brent Barry,SAS,04/05,7.4,2.3,2.2,0.72,6.1,0,2
Bruce Bowen,SAS,04/05,8.2,3.5,1.5,0.72,6.1,0,2
Donyell Marshall,TOR,04/05,11.5,6.6,1.2,0.402,6.0,0,17
Earl Boykins,DEN,04/05,12.4,1.7,4.5,0.598,6.0,0,8
Quentin Richardson,PHO,04/05,14.9,6.1,2.0,0.756,5.8,0,1
Antonio McDyess,DET,04/05,9.6,6.3,0.9,0.659,5.7,0,4
Jason Richardson,GSW,04/05,21.7,5.9,3.9,0.415,5.7,0,16
Damon Stoudamire,POR,04/05,15.8,3.8,5.7,0.329,5.7,0,19
Andrei Kirilenko,UTA,04/05,15.6,6.2,3.2,0.317,5.5,0,20
Rafer Alston,TOR,04/05,14.2,3.5,6.4,0.402,5.5,0,17
Michael Finley,DAL,04/05,15.7,4.1,2.6,0.707,5.5,0,3
Matt Harpring,UTA,04/05,14.0,6.2,1.8,0.317,5.5,0,20
Joe Smith,MIL,04/05,11.0,7.3,0.9,0.366,5.5,0,18
Antawn Jamison,WAS,04/05,19.6,7.6,2.3,0.549,5.4,0,10
Shareef Abdur-Rahim,POR,04/05,16.8,7.3,2.1,0.329,5.4,0,19
Gary Payton,BOS,04/05,11.3,3.1,6.1,0.549,5.4,0,10
Jeff Foster,IND,04/05,7.0,9.0,0.7,0.537,5.4,0,11
Luke Ridnour,OKC,04/05,10.0,2.5,5.9,0.634,5.4,0,5
Troy Murphy,GSW,04/05,15.4,10.8,1.4,0.415,5.3,0,16
Caron Butler,LAL,04/05,15.5,5.8,1.9,0.415,5.3,0,16
Kenyon Martin,DEN,04/05,15.5,7.3,2.4,0.598,5.3,0,8
Brendan Haywood,WAS,04/05,9.4,6.8,0.8,0.549,5.2,0,10
Dan Gadzuric,MIL,04/05,7.3,8.3,0.4,0.366,5.2,0,18
Fred Hoiberg,MIN,04/05,5.8,2.4,1.1,0.537,5.2,0,11
Kurt Thomas,NYK,04/05,11.4,10.4,2.0,0.402,5.2,0,17
Lorenzen Wright,MEM,04/05,9.6,7.7,1.1,0.549,5.2,0,10
Morris Peterson,TOR,04/05,12.5,4.1,2.1,0.402,5.1,0,17
Primož Brezec,CHO,04/05,13.0,7.4,1.2,0.22,4.9,0,21
Carmelo Anthony,DEN,04/05,20.8,5.7,2.6,0.598,4.9,0,8
Mike Dunleavy,GSW,04/05,13.4,5.5,2.6,0.415,4.9,0,16
Greg Buckner,DEN,04/05,6.2,3.0,1.9,0.598,4.8,0,8
Jalen Rose,TOR,04/05,18.5,3.4,2.6,0.402,4.8,0,17
Fred Jones,IND,04/05,10.6,3.1,2.5,0.537,4.8,0,11
Bob Sura,HOU,04/05,10.3,5.5,5.2,0.622,4.8,0,6
Jason Hart,CHO,04/05,9.5,2.7,5.0,0.22,4.8,0,21
Lamar Odom,LAL,04/05,15.2,10.2,3.7,0.415,4.7,0,16
Dikembe Mutombo,HOU,04/05,4.0,5.3,0.1,0.622,4.7,0,6
Joel Przybilla,POR,04/05,6.4,7.7,1.0,0.329,4.7,0,19
Josh Childress,ATL,04/05,10.1,6.0,1.9,0.159,4.6,0,22
Marc Jackson,PHI,04/05,12.0,5.0,1.0,0.524,4.6,0,12
Robert Horry,SAS,04/05,6.0,3.6,1.1,0.72,4.6,0,2
Erick Dampier,DAL,04/05,9.2,8.5,0.9,0.707,4.5,0,3
Chris Andersen,NOH,04/05,7.7,6.1,1.1,0.22,4.5,0,21
Chucky Atkins,LAL,04/05,13.6,2.4,4.4,0.415,4.5,0,16
Brevin Knight,CHO,04/05,10.1,2.6,9.0,0.22,4.5,0,21
Nenad Krstić,NJN,04/05,10.0,5.3,1.0,0.512,4.4,0,13
Kelvin Cato,ORL,04/05,7.0,6.7,0.6,0.439,4.3,0,15
Eddy Curry,CHI,04/05,16.1,5.4,0.6,0.573,4.3,0,9
Jason Williams,MEM,04/05,10.1,1.7,5.6,0.549,4.3,0,10
Danny Fortson,OKC,04/05,7.5,5.6,0.1,0.634,4.3,0,5
Darius Songaila,SAC,04/05,7.5,4.2,1.4,0.61,4.3,0,7
Desmond Mason,MIL,04/05,17.2,3.9,2.7,0.366,4.3,0,18
Rasho Nesterović,SAS,04/05,5.9,6.6,1.0,0.72,4.2,0,2
Matt Bonner,TOR,04/05,7.2,3.5,0.6,0.402,4.2,0,17
Jamal Crawford,NYK,04/05,17.7,2.9,4.3,0.402,4.2,0,17
Ricky Davis,BOS,04/05,16.0,3.0,3.0,0.549,4.2,0,10
Jeff McInnis,CLE,04/05,12.8,2.1,5.1,0.512,4.1,0,13
Carlos Boozer,UTA,04/05,17.8,9.0,2.8,0.317,4.1,0,20
Chris Duhon,CHI,04/05,5.9,2.6,4.9,0.573,4.1,0,9
Austin Croshere,IND,04/05,8.9,5.1,1.3,0.537,4.1,0,11
Emeka Okafor,CHO,04/05,15.1,10.9,0.9,0.22,4.0,0,21
Anthony Johnson,IND,04/05,8.4,2.8,4.8,0.537,4.0,0,11
Nick Collison,OKC,04/05,5.6,4.6,0.4,0.634,3.9,0,5
Jason Collins,NJN,04/05,6.4,6.1,1.3,0.512,3.9,0,13
Antonio Davis,CHI,04/05,7.0,5.9,1.1,0.573,3.9,0,9
Samuel Dalembert,PHI,04/05,8.2,7.5,0.5,0.524,3.9,0,12
Mike Sweetney,NYK,04/05,8.4,5.4,0.6,0.402,3.8,0,17
Reggie Evans,OKC,04/05,4.9,9.3,0.7,0.634,3.8,0,5
Sam Cassell,MIN,04/05,13.5,2.7,5.1,0.537,3.8,0,11
Jermaine O'Neal,IND,04/05,24.3,8.8,1.9,0.537,3.8,0,11
Devin Brown,SAS,04/05,7.4,2.6,1.4,0.72,3.7,0,2
Vladimir Radmanović,OKC,04/05,11.8,4.6,1.4,0.634,3.7,0,5
Derek Fisher,GSW,04/05,11.9,2.9,4.1,0.415,3.7,0,16
Jumaine Jones,LAL,04/05,7.6,5.2,0.9,0.415,3.7,0,16
Othella Harrington,CHI,04/05,8.0,4.2,0.8,0.573,3.6,0,9
Chris Mihm,LAL,04/05,9.8,6.7,0.7,0.415,3.6,0,16
Ben Gordon,CHI,04/05,15.1,2.6,2.0,0.573,3.5,0,9
Brian Cardinal,MEM,04/05,9.0,3.9,2.0,0.549,3.5,0,10
Jerry Stackhouse,DAL,04/05,14.9,3.3,2.3,0.707,3.5,0,3
Adonal Foyle,GSW,04/05,4.5,5.5,0.7,0.415,3.4,0,16
Ruben Patterson,POR,04/05,11.6,3.9,2.0,0.329,3.4,0,19
Hedo Türkoğlu,ORL,04/05,14.0,3.5,2.3,0.439,3.4,0,15
Nenê,DEN,04/05,9.6,5.9,1.5,0.598,3.2,0,8
Juwan Howard,HOU,04/05,9.6,5.7,1.5,0.622,3.2,0,6
Eddie Griffin,MIN,04/05,7.5,6.5,0.8,0.537,3.2,0,11
DerMarr Johnson,DEN,04/05,7.1,2.1,1.1,0.598,3.2,0,8
Zach Randolph,POR,04/05,18.9,9.6,1.9,0.329,3.1,0,19
Bonzi Wells,MEM,04/05,10.4,3.3,1.2,0.549,3.1,0,10
Stephen Jackson,IND,04/05,18.7,4.9,2.3,0.537,3.1,0,11
Beno Udrih,SAS,04/05,5.9,1.0,1.9,0.72,3.1,0,2
Alan Henderson,DAL,04/05,3.5,4.5,0.3,0.707,3.1,0,3
Luol Deng,CHI,04/05,11.7,5.3,2.2,0.573,3.0,0,9
Anderson Varejão,CLE,04/05,4.9,4.8,0.5,0.512,3.0,0,13
Zaza Pachulia,MIL,04/05,6.2,5.1,0.8,0.366,2.9,0,18
Stromile Swift,MEM,04/05,10.1,4.6,0.7,0.549,2.9,0,10
Mark Blount,BOS,04/05,9.4,4.8,1.6,0.549,2.8,0,10
Jamaal Tinsley,IND,04/05,15.4,4.0,6.4,0.537,2.8,0,11
