Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
108;C.J. Miles;4;2016-17;29;IND;76;29;0;4;115;111;2.7;1.4;0.109;1.2;-0.7;0.5;1.1;13.8;1.9;12.4;7.2;4.1;1.3;1.2;5.5;18.4;G-F;milescj01
109;Taj Gibson;4;2016-17;31;CHIOKC;78;71;0;4;107;107;1.6;2.5;0.097;-1.1;-0.4;-1.5;0.2;15;8.6;17.9;13.2;5.9;1;2.6;11.9;19.3;F-C;gibsota01
110;Nikola Vučević;4;2016-17;26;ORL;75;55;0;4;103;105;0.8;3.1;0.088;0.8;0.6;1.4;1.9;19.1;8.6;31.3;19.6;16.9;1.7;2.8;9.6;24.8;C;vucevni01
111;Vince Carter;4;2016-17;40;MEM;73;15;0;4;112;108;1.9;2.1;0.106;-0.3;1.1;0.8;1.3;11.7;2.2;12.5;7.2;11.5;1.7;1.9;8.5;14.9;G-F;cartevi01
112;Nerlens Noel;4;2016-17;22;DALPHI;51;19;0;4;119;102;2.1;1.9;0.181;0.1;2.3;2.4;1.2;20.4;9.8;22.3;15.9;8.1;3.1;4;12.5;17.6;C-F;noelne01
113;Victor Oladipo;4;2016-17;24;OKC;67;67;0;4;106;109;1.7;2.3;0.085;-0.3;-0.1;-0.5;0.8;13.6;1.9;12.6;7.2;12.5;1.7;0.8;10.6;21.4;G;oladivi01
114;Darren Collison;3.9;2016-17;29;SAC;68;64;0;3.9;113;114;3.1;0.8;0.091;0.3;-1.2;-0.9;0.6;15.3;1.3;7.1;4.3;24.5;1.6;0.4;12.6;19.8;G;collida01
115;Marcus Morris;3.9;2016-17;27;DET;79;79;0;3.9;105;109;1.4;2.4;0.072;-0.8;-0.3;-1.1;0.6;12.4;3.2;12.8;7.8;9.4;1;0.8;7.4;20.3;F;morrima03
116;Kyle O'Quinn;3.9;2016-17;26;NYK;79;8;0;3.9;114;105;2.1;1.8;0.151;0.2;1.7;1.9;1.2;20.5;13.7;24.8;19.2;14.8;1.5;6.9;14.5;18.5;F-C;oquinky01
117;Jrue Holiday;3.8;2016-17;26;NOP;67;61;0;3.8;104;108;1.3;2.6;0.084;1;0.2;1.3;1.8;17.1;2.2;10.6;6.4;35.9;2.2;1.6;16.7;23.5;G;holidjr01
118;Eric Gordon;3.8;2016-17;28;HOU;75;15;0;3.8;109;113;2.5;1.4;0.079;1.3;-1.4;-0.1;1.1;13.2;1.4;8.1;4.7;12.3;1;1.4;10;22.1;G-F;gordoer01
119;DeMarre Carroll;3.8;2016-17;30;TOR;72;72;0;3.8;110;108;1.7;2.1;0.097;-0.4;0.4;0;1;11.9;3.8;12.7;8.3;5.7;2.2;1.2;8.2;15.6;F;carrode01
120;Joe Johnson;3.8;2016-17;35;UTA;78;14;0;3.8;109;108;1.7;2.1;0.099;0.4;0.1;0.4;1.1;12.8;2.1;12.8;7.6;12.6;1;0.8;9.5;18.5;G-F;johnsjo02
